Date,EmpSomeTime,Retrenched,TempJob,Unwell,JobLoser,UnsatisfactoryWork,HolidayJob,Retired_NewBus_BetterJob_Other,Jobleaver,CeasedEmp
28/02/1994,8602.2,464.3,225.3,63.4,753,171.9,44.8,636.2,852.8,1605.8
28/02/1996,9141.9,417.8,244.1,70.4,772.9,215,65.8,772.9,1053.7,1826.6
28/02/1998,9243.8,408.6,223.2,74.1,705.9,186.2,50,735.5,971.7,1677.6
28/02/2000,9673,384.6,236.9,76.5,698,235.2,44.1,853,1132.2,1830.2
28/02/2002,9856.4,383.2,327.1,91.5,801.8,354.7,74.9,565.4,995,1796.8
28/02/2004,10159.6,270.7,296.3,90.3,657.6,299.6,83.6,771.6,1154.8,1812.4
28/02/2006,10762.4,232.3,321,88.4,641.7,297.2,88.8,965.4,1351.4,1993.1
28/02/2008,11338.2,202.6,317.5,91.4,611.6,344.1,96,998.1,1438.3,2049.9
28/02/2010,12174.4,366.3,285.1,83.1,734.5,252.2,84.1,782.3,1118.6,1853.1
28/02/2012,12702.7,324.2,333.5,106.9,764.6,280.2,94.8,705.9,1374.7,2139.4
28/02/2013,12499.5,381.4,328.2,97.6,807.1,270.3,79,864.4,1213.7,2020.9
28/02/2015,12635.7,372.2,257.9,96.2,722.9,203.8,84.9,842.5,1127.9,1852.2
28/02/2016,12864.5,343.9,251.3,98.4,695,213.6,95.5,868.5,1183.4,1878.8
